unit_id,manager_id,name,phone_number,job_role,work_location,salary
1,1,"Gracie McKee
","+1 229-332-1861
",HR,"St Paul, MN",152532
2,1,"Samson Burgess
","+1 505-603-8708
",HR,"Newington, CT",220617
3,1,"Lia Nunez
","+1 217-869-1995
",HR,"Queens, NY",152276
4,1,"Blair Leach
","+1 216-770-9503
",HR,"Hartford, CT",257037
5,1,"Sutton Sims
","+1 505-644-8874
",HR,"Newington, CT",323168
6,1,"Treasure Sullivan
","+1 505-609-6845
",HR,"New Haven, CT",229107
7,1,"Oaklee Sellers
","+1 505-644-8890
",HR,"Newington, CT",101848
8,1,"Camden Jensen
","+1 231-550-0512
",HR,"Los Angeles, CA",47175
9,1,"Lena Burnett
","+1 472-254-8180
",HR,"Los Angeles, CA",206195
10,1,"Zariah Lamb
","+1 201-590-9527
",HR,"Chicago, IL",337097
11,1,"Elias Price
","+1 505-644-7388
",HR,"Norwalk, CT",109506
12,1,"Emmie Merritt
","+1 505-448-8040
",HR,"Norwalk, CT",205300
13,1,"Alberto Landry
","+1 518-741-7431
",HR,"Hartford, CT",46598
14,1,"Justice Knight
","+1 505-920-7448
",HR,"Queens, NY",266102
15,1,"Sylvie Bush
","+1 505-626-4067
",HR,"Hartford, CT",147978
16,1,"Cesar Villarreal
","+1 505-644-6399
",HR,"St Paul, MN",70629
17,1,"Andre Estrada
","+1 317-881-1483
",HR,"Queens, NY",203920
18,1,"Wesley Peralta
","+1 216-505-6601
",HR,"Brooklyn, NY",238064
19,1,"Luis Joseph
","+1 505-670-5548
",HR,"St Paul, MN",167349
20,1,"Mina Esquivel
","+1 339-877-2192
",HR,"West Hartford, CT",48693
21,1,"Tucker Hickman
","+1 505-646-2323
",HR,"Manhattan, NY",117078
22,1,"Andy Velez
","+1 472-286-1884
",HR,"Brooklyn, NY",62343
23,1,"Blaze Rosario
","+1 505-695-2587
",HR,"Austin, TX",86690
24,1,"Dawson Wall
","+1 505-646-2628
",HR,"Chicago, IL",88408
25,1,"Wes Whitehead
","+1 505-997-9953
",HR,"Queens, NY",273984
26,1,"Helen Bradshaw
","+1 505-646-1469
",HR,"West Hartford, CT",283558
27,1,"Paloma Marsh
","+1 505-646-7946
",HR,"Hartford, CT",117923
28,2,"Amora Trejo
","+1 231-691-1690
",Manager,"Norwalk, CT",190390
29,3,"Elsa Estrada
","+1 505-670-0669
",Manager,"New Haven, CT",41984
30,4,"Sevyn Carter
","+1 505-644-8955
",Manager,"Hartford, CT",327952
31,5,"Jaxxon Cox
","+1 505-646-2724
",Manager,"West Hartford, CT",146412
32,6,"Raphael Graves
","+1 505-644-1476
",Manager,"Los Angeles, CA",107391
33,7,"Jamie Tran
","+1 505-638-2201
",Manager,"West Hartford, CT",244019
34,8,"Clark Barr
","+1 505-646-3585
",Manager,"Brooklyn, NY",163114
35,9,"Clementine Mitchell
","+1 505-621-8605
",Manager,"West Hartford, CT",269453
36,10,"Meghan Powell
","+1 505-644-7607
",Manager,"South Windsor, CT",321654
37,11,"Denver Hebert
","+1 505-646-3720
",Manager,"Austin, TX",50224
38,12,"Levi Salazar
","+1 302-681-8137
",Manager,"Hartford, CT",348174
39,13,"Alden Cannon
","+1 472-247-8634
",Manager,"St Paul, MN",69167
40,14,"Julien Martin
","+1 505-646-1435
",Manager,"Los Angeles, CA",282665
41,15,"Alessandro Alfaro
","+1 505-373-6195
",Manager,"Queens, NY",95437
42,16,"Derrick Klein
","+1 505-644-2551
",Manager,"Newington, CT",184810
43,17,"Rowen Bates
","+1 472-263-2163
",Manager,"Norwalk, CT",133212
44,18,"Theodora Tanner
","+1 472-227-3714
",Manager,"Bronx, NY",70739
45,19,"Iris Moon
","+1 203-809-5999
",Manager,"West Hartford, CT",193799
46,20,"Gracelynn Gutierrez
","+1 505-632-6407
",Manager,"Hartford, CT",316172
47,21,"Maxwell Pollard
","+1 213-837-7104
",Manager,"Los Angeles, CA",349315
48,22,"Alexandra Steele
","+1 505-619-3539
",Manager,"St Paul, MN",46043
49,23,"Ashlynn Pearson
","+1 219-540-0188
",Manager,"Manhattan, NY",207129
50,24,"Aidan Greene
","+1 472-276-0268
",Manager,"West Hartford, CT",255327
51,25,"Bowen Day
","+1 505-644-0828
",Manager,"Queens, NY",98613
52,26,"Devon Mann
","+1 505-646-2460
",Manager,"Chicago, IL",201234
53,27,"Emmy Melendez
","+1 505-906-5137
",Manager,"South Windsor, CT",136961
54,28,"Remi Ayala
","+1 505-644-0673
",Manager,"Chicago, IL",293921
55,29,"Kenna Browning
","+1 214-454-6175
",Manager,"Newington, CT",168119
56,30,"Selena Parrish
","+1 319-321-9131
",Manager,"Los Angeles, CA",174400
57,31,"Sloane Bauer
","+1 505-646-8010
",Manager,"Norwalk, CT",103756
58,32,"Aliya Pham
","+1 505-698-8994
",Manager,"Bronx, NY",297043
59,33,"Khalil Sellers
","+1 505-646-6864
",Manager,"South Windsor, CT",154975
60,2,"Lance Farley
","+1 472-211-4578
",Employee,"South Windsor, CT",337370
61,2,"Emerson Guzman
","+1 472-211-4450
",Employee,"South Windsor, CT",120198
62,2,"Malaysia Oliver
","+1 505-644-9285
",Employee,"Bronx, NY",220761
63,2,"Adeline Keller
","+1 472-247-8634
",Employee,"Chicago, IL",234320
64,2,"Sawyer Spears
","+1 509-845-0327
",Employee,"Norwalk, CT",102742
65,2,"Evan Davidson
","+1 505-644-3840
",Employee,"Manhattan, NY",66687
66,2,"Evangeline Little
","+1 472-213-5753
",Employee,"St Paul, MN",65573
67,2,"Lia Nunez
","+1 505-614-8199
",Employee,"New Haven, CT",296620
68,2,"Charleigh Bautista
","+1 505-920-4041
",Employee,"Atlanta, GA",281503
69,2,"Anika Walsh
","+1 505-332-6108
",Employee,"Manhattan, NY",343641
70,2,"Landen Serrano
","+1 505-644-3095
",Employee,"Chicago, IL",315905
71,2,"Conrad Schmidt
","+1 472-291-7593
",Employee,"New Haven, CT",191672
72,2,"Mordechai Goodwin
","+1 412-768-9048
",Employee,"Atlanta, GA",222674
73,2,"Alfred Humphrey
","+1 472-287-7239
",Employee,"Bronx, NY",204852
74,2,"Kaitlyn Singleton
","+1 505-646-1157
",Employee,"Norwalk, CT",249239
75,2,"Ruby Huerta
","+1 401-963-6244
",Employee,"Bronx, NY",282020
76,2,"Wesley Rogers
","+1 505-940-9464
",Employee,"Austin, TX",211806
77,2,"Emmalyn Portillo
","+1 505-646-6490
",Employee,"Brooklyn, NY",153601
78,2,"Maliyah Maddox
","+1 472-266-3605
",Employee,"Brooklyn, NY",84115
79,2,"Matias Richard
","+1 505-669-8630
",Employee,"Los Angeles, CA",198560
80,2,"Garrett Campbell
","+1 505-646-3704
",Employee,"Hartford, CT",135559
81,2,"Wilder Beltran
","+1 209-336-6685
",Employee,"St Paul, MN",321268
82,2,"Estrella Tapia
","+1 472-291-7593
",Employee,"West Hartford, CT",297057
83,2,"Keaton Carpenter
","+1 472-277-0783
",Employee,"Bronx, NY",281270
84,2,"Brandon Howe
","+1 472-286-1525
",Employee,"Chicago, IL",211224
85,2,"Fisher Carlson
","+1 505-646-7681
",Employee,"New Haven, CT",206408
86,2,"Cal Chase
","+1 505-646-9202
",Employee,"Bronx, NY",309165
87,2,"Salem Frazier
","+1 505-644-9169
",Employee,"Austin, TX",108879
88,2,"Fabian Roy
","+1 732-774-7925
",Employee,"Hartford, CT",186260
89,2,"Clayton Bauer
","+1 347-784-4286
",Employee,"Brooklyn, NY",63386
90,3,"Harold Reilly
","+1 505-646-0814
",Employee,"Norwalk, CT",152395
91,3,"Araceli Roman
","+1 505-644-5492
",Employee,"Atlanta, GA",144269
92,3,"Nathanael Velasquez
","+1 505-614-0924
",Employee,"Austin, TX",116844
93,3,"Andi Weber
","+1 505-644-5000
",Employee,"Atlanta, GA",205653
94,3,"Rosa Ray
","+1 505-644-8874
",Employee,"Bronx, NY",216056
